Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG_status	gene_id	gene_name	gene_biotype
gene:FGSG_00554	9536.71797946453	-3.12091737397327	0.143211400099558	-21.7923808565775	2.74027041063314e-105	2.3969145281808e-101	down	gene:FGSG_00554	gene:FGSG_00554	NA
gene:FGSG_06480	4716.77061079263	2.7473632372084	0.183768962399977	14.9500938642114	1.55529813258666e-50	6.80209638286774e-47	up	gene:FGSG_06480	gene:FGSG_06480	NA
gene:FGSG_11097	874.353586539984	2.30468174063706	0.163100330308874	14.1304541583241	2.46549124243312e-45	7.18855063252083e-42	up	gene:FGSG_11097	gene:FGSG_11097	NA
gene:FGSG_10766	305.850529242875	-3.18774294513502	0.229564039548739	-13.8860727115678	7.69397969977911e-44	1.6824810108492e-40	down	gene:FGSG_10766	gene:FGSG_10766	NA
gene:FGSG_04694	998.196028592741	1.95098197995703	0.164219353076507	11.8803414056082	1.49754469083824e-32	2.61980468215242e-29	up	gene:FGSG_04694	gene:FGSG_04694	NA
gene:FGSG_13756	1093.54022860117	2.03939846187775	0.173581847430958	11.7489155234905	7.15309409330546e-32	1.04280190056905e-28	up	gene:FGSG_13756	gene:FGSG_13756	NA
gene:FGSG_02323	3419.05793809083	-1.3170110294216	0.120551835096863	-10.924852602728	8.76826459622562e-28	1.09565729175979e-24	down	gene:FGSG_02323	gene:FGSG_02323	NA
gene:FGSG_06751	3096.93386231055	-1.48646350857214	0.137907636450655	-10.7786888879356	4.34027898855599e-27	4.7455525391124e-24	down	gene:FGSG_06751	gene:FGSG_06751	NA
gene:FGSG_02322	24302.51026124	-1.6439764169527	0.155308626365581	-10.5852228264703	3.48949496875996e-26	3.39140138797149e-23	down	gene:FGSG_02322	gene:FGSG_02322	NA
gene:FGSG_00523	7198.82354567106	-1.46741511510751	0.138829348867392	-10.5699200282871	4.10844825766692e-26	3.59365969098125e-23	down	gene:FGSG_00523	gene:FGSG_00523	NA
gene:FGSG_02615	3233.76808275283	-1.63972828417796	0.155580070592339	-10.5394494162076	5.68306325091898e-26	4.14247952131569e-23	down	gene:FGSG_02615	gene:FGSG_02615	NA
gene:FGSG_08844	5488.40390957995	1.90620656985893	0.181982960642186	10.4746431376447	1.12962845871774e-25	7.60066163723387e-23	up	gene:FGSG_08844	gene:FGSG_08844	NA
gene:FGSG_02291	415.685217370562	2.14309333782692	0.217634401982482	9.84721771146931	7.04676792543958e-23	4.109205269588e-20	up	gene:FGSG_02291	gene:FGSG_02291	NA
gene:FGSG_11129	4482.92662170102	1.11080299183136	0.114252482159962	9.72235325510168	2.42120050614546e-22	1.3236400517034e-19	up	gene:FGSG_11129	gene:FGSG_11129	NA
gene:FGSG_02139	4934.70026112758	2.19931198588313	0.227845073066581	9.65266422610089	4.7894930723776e-22	2.46433505318158e-19	up	gene:FGSG_02139	gene:FGSG_02139	NA
gene:FGSG_05159	2005.66227146025	1.47689893730213	0.154247688165699	9.57485298395907	1.02002322967909e-21	4.95674621666834e-19	up	gene:FGSG_05159	gene:FGSG_05159	NA
gene:FGSG_08172	764.506545574858	-1.49215461766066	0.159708833023314	-9.34296863494604	9.36702088856714e-21	4.31228061643667e-18	down	gene:FGSG_08172	gene:FGSG_08172	NA
gene:FGSG_03518	5994.74061620906	-1.20278560543816	0.129851817711419	-9.26275524391362	1.9922366727622e-20	8.71304708832548e-18	down	gene:FGSG_03518	gene:FGSG_03518	NA
gene:FGSG_12704	659.814330589866	1.82590399419209	0.197846015176295	9.22891468177958	2.73387849218311e-20	1.13872548433932e-17	up	gene:FGSG_12704	gene:FGSG_12704	NA
gene:FGSG_06184	55372.2735385608	1.02876939038588	0.112522010337789	9.14282803246701	6.08400910786106e-20	2.41894671211185e-17	up	gene:FGSG_06184	gene:FGSG_06184	NA
gene:FGSG_04693	1668.82885769889	1.45184324057334	0.160847537175389	9.02620746371913	1.77724440362842e-19	6.47731533272409e-17	up	gene:FGSG_04693	gene:FGSG_04693	NA
gene:FGSG_06612	10824.5749076664	1.50572384742645	0.175710137491069	8.56936241087957	1.04059567781246e-17	3.13865185993987e-15	up	gene:FGSG_06612	gene:FGSG_06612	NA
gene:FGSG_03069	650.120278363611	-1.26956714720417	0.154894521988022	-8.19633342037975	2.47830318729751e-16	6.37579940567392e-14	down	gene:FGSG_03069	gene:FGSG_03069	NA
gene:FGSG_09595	362.494875462861	-3.80408975060906	0.464091905063173	-8.19684573056977	2.46776816117188e-16	6.37579940567392e-14	down	gene:FGSG_09595	gene:FGSG_09595	NA
gene:FGSG_06613	571.455877722212	1.66264323967079	0.21751325990896	7.64387072478564	2.10787045696053e-14	4.72757509923942e-12	up	gene:FGSG_06613	gene:FGSG_06613	NA
gene:FGSG_08081	4510.34073669835	-1.89385732618651	0.249067372783769	-7.60379533063405	2.87569926087496e-14	6.28843535871831e-12	down	gene:FGSG_08081	gene:FGSG_08081	NA
gene:FGSG_11099	498.179036821569	1.66195760394973	0.220827446191347	7.52604638877022	5.2299766022265e-14	1.1157708619433e-11	up	gene:FGSG_11099	gene:FGSG_11099	NA
gene:FGSG_05740	1485.92321594634	1.47281693081475	0.196414926810756	7.49849797431024	6.45532501058369e-14	1.34439828256132e-11	up	gene:FGSG_05740	gene:FGSG_05740	NA
gene:FGSG_01733	1842.63894223042	1.19186910673619	0.159093142650635	7.49164349184747	6.80164671629489e-14	1.38358148435887e-11	up	gene:FGSG_01733	gene:FGSG_01733	NA
gene:FGSG_09351	646.895071432599	-1.50260113139711	0.217492587636759	-6.90874639786185	4.88955144247043e-12	9.09976733346572e-10	down	gene:FGSG_09351	gene:FGSG_09351	NA
gene:FGSG_05820	1086.35575197163	1.3528926131423	0.203724334303027	6.64080026458674	3.11984575437422e-11	5.68526891948152e-09	up	gene:FGSG_05820	gene:FGSG_05820	NA
gene:FGSG_03442	418.854365468144	-1.03322121863498	0.156604122526717	-6.59766296036499	4.17689472580302e-11	7.45618329930592e-09	down	gene:FGSG_03442	gene:FGSG_03442	NA
gene:FGSG_08199	705.789380903061	-1.60300375764292	0.243461043590685	-6.58423102933027	4.57245664304931e-11	7.99905565135045e-09	down	gene:FGSG_08199	gene:FGSG_08199	NA
gene:FGSG_05160	1257.0556758215	1.26882870192795	0.194862412531833	6.51140815430822	7.44495447013297e-11	1.27688268137751e-08	up	gene:FGSG_05160	gene:FGSG_05160	NA
gene:FGSG_11112	260.075503613656	1.32223786330675	0.203353773685815	6.50215552601269	7.9177177593465e-11	1.33185148540392e-08	up	gene:FGSG_11112	gene:FGSG_11112	NA
gene:FGSG_12548	1551.16148126757	1.1762662025302	0.183826143511321	6.39879714637957	1.5660573260144e-10	2.49060062375418e-08	up	gene:FGSG_12548	gene:FGSG_12548	NA
gene:FGSG_11542	364.690276182751	-2.02871574717003	0.318449038333433	-6.37061351413428	1.88273534986166e-10	2.88917300091929e-08	down	gene:FGSG_11542	gene:FGSG_11542	NA
gene:FGSG_03747	701.900209017616	1.23907472187501	0.196858946668212	6.29422610882585	3.08937232083845e-10	4.65909305006447e-08	up	gene:FGSG_03747	gene:FGSG_03747	NA
gene:FGSG_01158	13413.5083959339	1.0987753438257	0.180073714458089	6.10180862394238	1.04874901103397e-09	1.47162475271028e-07	up	gene:FGSG_01158	gene:FGSG_01158	NA
gene:FGSG_07512	403.461390825797	1.77920969233408	0.294237694008231	6.04684487598081	1.47709850460193e-09	1.95760312420502e-07	up	gene:FGSG_07512	gene:FGSG_07512	NA
gene:FGSG_09040	117.667114584121	1.93908427610461	0.321054248214893	6.03974028341377	1.54362484747881e-09	2.01523679714882e-07	up	gene:FGSG_09040	gene:FGSG_09040	NA
gene:FGSG_12047	115.995872536317	1.77375836384652	0.299648125110005	5.91947092342175	3.22978931694039e-09	3.9790094584898e-07	up	gene:FGSG_12047	gene:FGSG_12047	NA
gene:FGSG_09977	213.176472752484	1.7555224705073	0.296826183950516	5.91431135603579	3.33266945107033e-09	3.99326845048112e-07	up	gene:FGSG_09977	gene:FGSG_09977	NA
gene:FGSG_01621	150.348637298958	1.73719535816729	0.295988741170684	5.8691264785829	4.38097146606663e-09	5.10938098849131e-07	up	gene:FGSG_01621	gene:FGSG_01621	NA
gene:FGSG_04471	2241.21216455868	-1.71398331684934	0.292992927455544	-5.84991361987536	4.91828366069311e-09	5.62293687348066e-07	down	gene:FGSG_04471	gene:FGSG_04471	NA
gene:FGSG_08221	1343.44533531784	-1.10098888011704	0.188240285479741	-5.84884833398498	4.949881550909e-09	5.62293687348066e-07	down	gene:FGSG_08221	gene:FGSG_08221	NA
gene:FGSG_00217	313.915729113634	-1.08139121241067	0.186111634132818	-5.81044391689635	6.23074035130442e-09	6.98721613498202e-07	down	gene:FGSG_00217	gene:FGSG_00217	NA
gene:FGSG_11585	1060.67687841674	-1.28838894193609	0.222710639375986	-5.78503544126151	7.2497043589781e-09	7.92664550349768e-07	down	gene:FGSG_11585	gene:FGSG_11585	NA
gene:FGSG_03071	348.105976081909	2.72685972902544	0.472383791252062	5.77255142857007	7.80801018935715e-09	8.43168705263049e-07	up	gene:FGSG_03071	gene:FGSG_03071	NA
gene:FGSG_02551	421.459333859012	2.08469989217612	0.362109500165748	5.75709803587559	8.55722194740059e-09	9.12805126511133e-07	up	gene:FGSG_02551	gene:FGSG_02551	NA
gene:FGSG_09845	8674.34756818432	1.00428788644436	0.174618326063572	5.7513315416776	8.85432806136053e-09	9.3311816328579e-07	up	gene:FGSG_09845	gene:FGSG_09845	NA
gene:FGSG_01015	2819.50577049488	1.11231513174348	0.195132766459919	5.7002990933968	1.19597406947531e-08	1.21809222082676e-06	up	gene:FGSG_01015	gene:FGSG_01015	NA
gene:FGSG_06506	201.834570127784	1.68227861235687	0.297126936153698	5.66181792244734	1.49777701468933e-08	1.5058684537342e-06	up	gene:FGSG_06506	gene:FGSG_06506	NA
gene:FGSG_03296	4604.0171672031	-1.0915510566779	0.193938974798366	-5.62832229990262	1.81970837010742e-08	1.80874876287836e-06	down	gene:FGSG_03296	gene:FGSG_03296	NA
gene:FGSG_08377	314.882220205909	1.33561391097032	0.237806010871034	5.61640097354245	1.94975907199996e-08	1.9162407418858e-06	up	gene:FGSG_08377	gene:FGSG_08377	NA
gene:FGSG_11496	551.013136086389	1.36617189143321	0.244822851995307	5.58024661627339	2.40177800248079e-08	2.33426135418883e-06	up	gene:FGSG_11496	gene:FGSG_11496	NA
gene:FGSG_08647	81.7679001557635	2.29790728786299	0.412723703884636	5.56766492022299	2.58175684831754e-08	2.48160737936632e-06	up	gene:FGSG_08647	gene:FGSG_08647	NA
gene:FGSG_02324	297.465635724355	-2.95323175112268	0.531656811435054	-5.55477083638086	2.77976201848622e-08	2.58665727401052e-06	down	gene:FGSG_02324	gene:FGSG_02324	NA
gene:FGSG_04874	191.445443575289	1.68742391865575	0.305645648515827	5.52085045820103	3.37362805932046e-08	3.07386714946625e-06	up	gene:FGSG_04874	gene:FGSG_04874	NA
gene:FGSG_02037	138.881099245092	1.44239775736621	0.264234857472491	5.4587716819927	4.7943980970449e-08	4.10161328622635e-06	up	gene:FGSG_02037	gene:FGSG_02037	NA
gene:FGSG_01731	692.642959760711	1.40185751815144	0.258053528491685	5.43242917988859	5.55920194288899e-08	4.58739050891037e-06	up	gene:FGSG_01731	gene:FGSG_01731	NA
gene:FGSG_01389	232.748554176152	-1.40252462295724	0.258834873749912	-5.41860763442707	6.00649740817071e-08	4.82007640635498e-06	down	gene:FGSG_01389	gene:FGSG_01389	NA
gene:FGSG_03824	172.113118406633	-1.43769027056326	0.267072239792755	-5.38315128400799	7.31929712806082e-08	5.71624035528107e-06	down	gene:FGSG_03824	gene:FGSG_03824	NA
gene:FGSG_03686	4358.39755493396	1.1471005546801	0.214540343416057	5.34678250447068	8.95314930248835e-08	6.86957867972505e-06	up	gene:FGSG_03686	gene:FGSG_03686	NA
gene:FGSG_03851	1482.37803038519	1.58482107333041	0.299109031720084	5.29847281513564	1.16775258477543e-07	8.80545849916441e-06	up	gene:FGSG_03851	gene:FGSG_03851	NA
gene:FGSG_12626	154.901890622581	1.32707508770433	0.251593544561209	5.27467860917821	1.3298894179896e-07	9.94234422150006e-06	up	gene:FGSG_12626	gene:FGSG_12626	NA
gene:FGSG_07587	189.946860446657	-1.97643839586385	0.379502634251152	-5.20797016274691	1.9091761478495e-07	1.39163031376997e-05	down	gene:FGSG_07587	gene:FGSG_07587	NA
gene:FGSG_13783	421.018059935362	1.06186105683164	0.204957463128621	5.18088505108626	2.2083555622355e-07	1.59640381015487e-05	up	gene:FGSG_13783	gene:FGSG_13783	NA
gene:FGSG_12977	124.951792916637	1.85459965016804	0.365829276953388	5.06957689557565	3.98701032645414e-07	2.76780788297574e-05	up	gene:FGSG_12977	gene:FGSG_12977	NA
gene:FGSG_13347	1471.58889642789	1.16359547529154	0.232827224643219	4.99767790074643	5.80247996664713e-07	3.99640096600492e-05	up	gene:FGSG_13347	gene:FGSG_13347	NA
gene:FGSG_06989	52.3119719195501	2.37674927423232	0.477866737399872	4.97366543477055	6.56986563239723e-07	4.45477633229291e-05	up	gene:FGSG_06989	gene:FGSG_06989	NA
gene:FGSG_02034	187.908723703131	1.23625448416485	0.250435292874701	4.93642277801227	7.95685218660611e-07	5.23297639671005e-05	up	gene:FGSG_02034	gene:FGSG_02034	NA
gene:FGSG_08079	1660.14506791146	-1.42701776616545	0.289654219708466	-4.92662515879012	8.36620305759338e-07	5.4206798625755e-05	down	gene:FGSG_08079	gene:FGSG_08079	NA
gene:FGSG_12976	37.2582143813856	3.3224763120358	0.677452323553675	4.90436920284998	9.3728051403153e-07	5.98422821622905e-05	up	gene:FGSG_12976	gene:FGSG_12976	NA
gene:FGSG_10286	2315.82480100626	-1.1058758328179	0.227727218797648	-4.8561425316512	1.19694560059907e-06	7.27061331141672e-05	down	gene:FGSG_10286	gene:FGSG_10286	NA
gene:FGSG_00237	207.99376361846	1.30307177907245	0.269627740357864	4.83285502204982	1.34588802318233e-06	8.06334420464096e-05	up	gene:FGSG_00237	gene:FGSG_00237	NA
gene:FGSG_09554	2498.91836689182	-1.1097848687773	0.232273307607214	-4.77792683201466	1.77111801126462e-06	0.000103279794963544	down	gene:FGSG_09554	gene:FGSG_09554	NA
gene:FGSG_04051	167.980984405309	1.80766168068617	0.381227965410478	4.74168173559832	2.11951406665546e-06	0.000121172480660362	up	gene:FGSG_04051	gene:FGSG_04051	NA
gene:FGSG_06881	254.514267928387	1.09746151437261	0.232599347624376	4.71824846278117	2.37883856180142e-06	0.000132533126752083	up	gene:FGSG_06881	gene:FGSG_06881	NA
gene:FGSG_07968	33.5881132602778	2.52746870607639	0.542822773444337	4.65615819697286	3.22164425413315e-06	0.000172881731846028	up	gene:FGSG_07968	gene:FGSG_07968	NA
gene:FGSG_02329	52.7513860399944	-6.38559181094145	1.38547886732945	-4.60894204994254	4.04723109627351e-06	0.000205837913259527	down	gene:FGSG_02329	gene:FGSG_02329	NA
gene:FGSG_03970	1597.53533313399	1.50718782804816	0.327427483447506	4.60311948214876	4.16209286780387e-06	0.00020910804725539	up	gene:FGSG_03970	gene:FGSG_03970	NA
gene:FGSG_04709	257.951719293592	1.3715178998767	0.298023469520558	4.60204661761411	4.18359532064631e-06	0.00020910804725539	up	gene:FGSG_04709	gene:FGSG_04709	NA
gene:FGSG_11757	2395.79882458405	1.05333552760915	0.22937581277238	4.59218221345085	4.38635128244739e-06	0.000216765054619024	up	gene:FGSG_11757	gene:FGSG_11757	NA
gene:FGSG_02379	118.014773169317	1.95901012271499	0.432290130226722	4.53170217346289	5.85103024983386e-06	0.000279677434448782	up	gene:FGSG_02379	gene:FGSG_02379	NA
gene:FGSG_03363	98.5191370960538	1.89684003406565	0.418571969528697	4.53169388337556	5.8512599181579e-06	0.000279677434448782	up	gene:FGSG_03363	gene:FGSG_03363	NA
gene:FGSG_04828	558.20118601504	-1.68511571066236	0.374849527832273	-4.49544573367147	6.94243626921807e-06	0.000314639844802334	down	gene:FGSG_04828	gene:FGSG_04828	NA
gene:FGSG_11215	128.858135825459	-4.9129768030706	1.09328143519607	-4.49378965461853	6.99667417775271e-06	0.000315463448622696	down	gene:FGSG_11215	gene:FGSG_11215	NA
gene:FGSG_08270	1253.88317802309	1.02388152200926	0.228152521547171	4.48770636005252	7.19940646872778e-06	0.000322939530163907	up	gene:FGSG_08270	gene:FGSG_08270	NA
gene:FGSG_12926	130.614942591655	1.76821903523595	0.394149161188151	4.48616719088201	7.25158457837659e-06	0.000323620460750306	up	gene:FGSG_12926	gene:FGSG_12926	NA
gene:FGSG_03993	1240.05297163654	-1.05513679601629	0.236576144358877	-4.46003040110284	8.1948027907625e-06	0.000362019899044442	down	gene:FGSG_03993	gene:FGSG_03993	NA
gene:FGSG_03498	742.826260870529	1.34949711138898	0.302788257359935	4.45690041996835	8.31532053292982e-06	0.000363670543507686	up	gene:FGSG_03498	gene:FGSG_03498	NA
gene:FGSG_08639	390.676961361519	1.68039655084463	0.377883182881218	4.44686778075764	8.7131429858297e-06	0.000377296345034913	up	gene:FGSG_08639	gene:FGSG_08639	NA
gene:FGSG_10443	209.927050649359	2.05483803487065	0.462462345048153	4.44325480089994	8.86081258582108e-06	0.000378326885070615	up	gene:FGSG_10443	gene:FGSG_10443	NA
